"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3857","fullname with special characters","webkit","2026-03-25","passed","2026-03-25","","register.spec.js","",""
"","2825","Trying to register again with same details","webkit","2026-03-25","passed","2026-03-25","","register.spec.js","",""
"","4714","listing a bike with discription","chromium","2026-03-25","passed","2026-03-25","","sell.spec.js","",""
"","2693","only age entered","webkit","2026-03-25","passed","2026-03-25","","register.spec.js","",""
"","1799","checking for the functionality of second View all which navigates orders page","chromium","2026-03-30","passed","2026-03-30","","dashboard.spec.js","",""
"","2835","fullname and password only","webkit","2026-03-25","passed","2026-03-25","","register.spec.js","",""
"","1200","Verify user remains logged in","chromium","2026-03-30","passed","2026-03-30","","messgaes.spec.js","",""
"","0","invalid email format","webkit","2026-03-25","skipped","2026-03-25","","register.spec.js","",""
"","802","correct login","chromium","2026-03-30","passed","2026-03-30","","loginModule.spec.js","",""
"","3451","password less than 6 characters","firefox","2026-03-25","passed","2026-03-25","","register.spec.js","",""
"","15316","Verify listing failure when mandatory fields are filled without km driven","webkit","2026-03-25","failed","2026-03-25","","sell.spec.js","",""
"","837","trying to register with only fullname","chromium","2026-03-30","passed","2026-03-30","","register.spec.js","",""
"","4288","checking for the functionality of first View all link","firefox","2026-03-25","passed","2026-03-25","","dashboard.spec.js","",""
"","5096","checking Estimator button functionality","firefox","2026-03-25","passed","2026-03-25","","dashboard.spec.js","",""
"","2270","Trying to register again with same details","firefox","2026-03-25","passed","2026-03-25","","register.spec.js","",""
"","1250","Verify page title","chromium","2026-03-30","passed","2026-03-30","","messgaes.spec.js","",""
"","0","invalid email format","chromium","2026-03-30","skipped","2026-03-30","","register.spec.js","",""
"","570","Verify navigation back from contact","chromium","2026-03-30","passed","2026-03-30","","estimator.spec.js","",""
"","817","Trying to create account with fullname and email","chromium","2026-03-30","passed","2026-03-30","","register.spec.js","",""
"","1358","Verify bike price is visible","chromium","2026-03-30","passed","2026-03-30","","browsebike.spec.js","",""
"","647","Verify estimator page responsive","chromium","2026-03-30","passed","2026-03-30","","estimator.spec.js","",""
"","1","filling brand name and model name of the bike and trying to list with two details","chromium","2026-03-25","skipped","2026-03-25","","sell.spec.js","",""
"","30059","","chromium","2026-03-23","broken","2026-03-23","","dashboard.spec.js","",""
"","1","Asserting the bike value when we hit the estimator button with km travelled","chromium","2026-03-25","skipped","2026-03-25","","sell.spec.js","",""
"","4700","checking Messages button functionality","webkit","2026-03-25","passed","2026-03-25","","dashboard.spec.js","",""
"","5197","checking for the functionality of first View all link","webkit","2026-03-25","passed","2026-03-25","","dashboard.spec.js","",""
"","5487","Verify successful listing without description","webkit","2026-03-25","passed","2026-03-25","","sell.spec.js","",""
